team,fractional_odds,decimal_odds,source,confirmed_skybet
Spain,9/2,5.5,Sporting Life (Sky Bet) 2026-06-11,yes
France,9/2,5.5,Sporting Life (Sky Bet) 2026-06-11,yes
England,11/2,6.5,Sporting Life (Sky Bet) 2026-06-11,yes
Brazil,6/1,7.0,Sporting Life (Sky Bet) 2026-06-11,yes
Argentina,13/2,7.5,Sporting Life (Sky Bet) 2026-06-11,yes
Portugal,17/2,9.5,Sporting Life market report 2026-06,yes
Germany,14/1,15.0,UK/US market consensus 2026-06-11,no
Netherlands,20/1,21.0,UK/US market consensus 2026-06-11,no
Norway,30/1,31.0,UK/US market consensus 2026-06-11,no
Belgium,40/1,41.0,UK/US market consensus 2026-06-11,no
Colombia,40/1,41.0,UK/US market consensus 2026-06-11,no
Uruguay,65/1,66.0,UK/US market consensus 2026-06-11,no
Mexico,33/1,34.0,market floor (every other team 33/1+),no
