date,match,sel,odds,dec,model,imp,ev,kelly
2026-06-14,Germany v Curaçao,Draw,18/1,19.0,0.127,0.053,1.407,0.078
2026-06-16,Austria v Jordan,Jordan,15/2,8.5,0.234,0.118,0.985,0.131
2026-06-19,Brazil v Haiti,Draw,11/1,12.0,0.162,0.083,0.946,0.086
2026-06-17,Ghana v Panama,Panama,23/10,3.3,0.53,0.303,0.75,0.326
2026-06-16,Iraq v Norway,Draw,13/2,7.5,0.233,0.133,0.749,0.115
2026-06-16,Iraq v Norway,Iraq,11/1,12.0,0.141,0.083,0.698,0.063
2026-06-21,Spain v Saudi Arabia,Draw,8/1,9.0,0.166,0.111,0.491,0.061
2026-06-19,Brazil v Haiti,Haiti,18/1,19.0,0.077,0.053,0.471,0.026
2026-06-16,Austria v Jordan,Draw,17/4,5.25,0.264,0.19,0.383,0.09
2026-06-19,United States v Australia,Australia,9/2,5.5,0.246,0.182,0.352,0.078
2026-06-13,Haiti v Scotland,Haiti,9/2,5.5,0.243,0.182,0.338,0.075
2026-06-13,Qatar v Switzerland,Draw,13/2,7.5,0.176,0.133,0.324,0.05
2026-06-13,Australia v Turkey,Australia,4/1,5.0,0.261,0.2,0.306,0.077
2026-06-17,Portugal v DR Congo,DR Congo,9/1,10.0,0.129,0.1,0.293,0.033
2026-06-15,Spain v Cape Verde,Draw,11/1,12.0,0.107,0.083,0.28,0.025
2026-06-17,Uzbekistan v Colombia,Uzbekistan,7/1,8.0,0.159,0.125,0.275,0.039
2026-06-16,France v Senegal,Senegal,6/1,7.0,0.182,0.143,0.273,0.045
2026-06-14,Sweden v Tunisia,Tunisia,10/3,4.33,0.285,0.231,0.234,0.07
2026-06-17,Portugal v DR Congo,Draw,19/4,5.75,0.213,0.174,0.226,0.048
2026-06-20,Germany v Ivory Coast,Ivory Coast,19/4,5.75,0.21,0.174,0.206,0.043
2026-06-13,Haiti v Scotland,Draw,7/2,4.5,0.265,0.222,0.193,0.055
2026-06-17,Uzbekistan v Colombia,Draw,18/5,4.6,0.259,0.217,0.191,0.053
2026-06-14,Ivory Coast v Ecuador,Ecuador,11/8,2.38,0.501,0.421,0.19,0.138
2026-06-16,Argentina v Algeria,Algeria,15/2,8.5,0.14,0.118,0.189,0.025
2026-06-21,Spain v Saudi Arabia,Saudi Arabia,18/1,19.0,0.062,0.053,0.186,0.01
2026-06-15,Saudi Arabia v Uruguay,Saudi Arabia,13/2,7.5,0.157,0.133,0.174,0.027
2026-06-14,Netherlands v Japan,Japan,13/5,3.6,0.326,0.278,0.173,0.066
2026-06-15,Belgium v Egypt,Egypt,9/2,5.5,0.199,0.182,0.095,0.021
2026-06-20,Ecuador v Curaçao,Draw,13/2,7.5,0.146,0.133,0.094,0.014
2026-06-13,Australia v Turkey,Draw,14/5,3.8,0.287,0.263,0.089,0.032
2026-06-18,Switzerland v Bosnia and Herzegovina,Switzerland,4/7,1.57,0.689,0.636,0.083,0.146
2026-06-16,France v Senegal,Draw,16/5,4.2,0.255,0.238,0.071,0.022
2026-06-20,Tunisia v Japan,Japan,7/10,1.7,0.626,0.588,0.065,0.092
2026-06-19,Turkey v Paraguay,Paraguay,29/10,3.9,0.273,0.256,0.065,0.023
2026-06-14,Germany v Curaçao,Curaçao,18/1,19.0,0.056,0.053,0.06,0.003
2026-06-15,Saudi Arabia v Uruguay,Draw,16/5,4.2,0.251,0.238,0.053,0.016
2026-06-19,United States v Australia,Draw,16/5,4.2,0.251,0.238,0.052,0.016
2026-06-18,Canada v Qatar,Canada,2/7,1.29,0.814,0.778,0.047,0.165
2026-06-18,Mexico v South Korea,Mexico,1/1,2.0,0.521,0.5,0.043,0.043
2026-06-13,Qatar v Switzerland,Qatar,11/1,12.0,0.086,0.083,0.028,0.003
2026-06-20,Germany v Ivory Coast,Draw,3/1,4.0,0.255,0.25,0.021,0.007
2026-06-14,Netherlands v Japan,Draw,12/5,3.4,0.297,0.294,0.01,0.004
2026-06-13,Brazil v Morocco,Morocco,4/1,5.0,0.202,0.2,0.008,0.002
2026-06-13,Brazil v Morocco,Draw,11/4,3.75,0.268,0.267,0.007,0.002
2026-06-16,Argentina v Algeria,Draw,7/2,4.5,0.223,0.222,0.005,0.002
2026-06-18,Czech Republic v South Africa,Czech Republic,8/11,1.73,0.572,0.579,-0.012,0.0
2026-06-20,Netherlands v Sweden,Sweden,4/1,5.0,0.197,0.2,-0.017,0.0
2026-06-19,Scotland v Morocco,Morocco,10/11,1.91,0.514,0.524,-0.019,0.0
2026-06-14,Sweden v Tunisia,Draw,12/5,3.4,0.287,0.294,-0.023,0.0
2026-06-20,Ecuador v Curaçao,Ecuador,1/5,1.2,0.8,0.833,-0.04,0.0
2026-06-15,Iran v New Zealand,New Zealand,7/2,4.5,0.212,0.222,-0.045,0.0
2026-06-17,England v Croatia,England,4/6,1.67,0.571,0.6,-0.049,0.0
2026-06-18,Mexico v South Korea,South Korea,3/1,4.0,0.233,0.25,-0.068,0.0
2026-06-15,Belgium v Egypt,Draw,14/5,3.8,0.243,0.263,-0.075,0.0
2026-06-15,Iran v New Zealand,Iran,4/5,1.8,0.513,0.556,-0.077,0.0
2026-06-20,Netherlands v Sweden,Netherlands,8/13,1.62,0.566,0.619,-0.086,0.0
2026-06-15,Spain v Cape Verde,Spain,1/16,1.06,0.854,0.941,-0.093,0.0
2026-06-15,Iran v New Zealand,Draw,23/10,3.3,0.275,0.303,-0.093,0.0
2026-06-19,Scotland v Morocco,Scotland,3/1,4.0,0.225,0.25,-0.098,0.0
2026-06-20,Netherlands v Sweden,Draw,14/5,3.8,0.237,0.263,-0.098,0.0
2026-06-17,England v Croatia,Draw,13/5,3.6,0.248,0.278,-0.108,0.0
2026-06-19,Turkey v Paraguay,Turkey,19/20,1.95,0.457,0.513,-0.109,0.0
2026-06-13,Brazil v Morocco,Brazil,4/6,1.67,0.53,0.6,-0.117,0.0
2026-06-18,Czech Republic v South Africa,Draw,13/5,3.6,0.245,0.278,-0.117,0.0
2026-06-15,Belgium v Egypt,Belgium,4/7,1.57,0.557,0.636,-0.124,0.0
2026-06-13,Qatar v Switzerland,Switzerland,2/11,1.18,0.738,0.846,-0.128,0.0
2026-06-17,England v Croatia,Croatia,19/5,4.8,0.181,0.208,-0.129,0.0
2026-06-16,Argentina v Algeria,Argentina,4/11,1.36,0.637,0.733,-0.132,0.0
2026-06-19,Turkey v Paraguay,Draw,11/5,3.2,0.27,0.312,-0.137,0.0
2026-06-21,Spain v Saudi Arabia,Spain,1/10,1.1,0.772,0.909,-0.151,0.0
2026-06-19,Scotland v Morocco,Draw,9/4,3.25,0.261,0.308,-0.153,0.0
2026-06-17,Portugal v DR Congo,Portugal,2/7,1.29,0.657,0.778,-0.155,0.0
2026-06-14,Germany v Curaçao,Germany,1/33,1.03,0.818,0.971,-0.158,0.0
2026-06-15,Saudi Arabia v Uruguay,Uruguay,2/5,1.4,0.593,0.714,-0.17,0.0
2026-06-18,Czech Republic v South Africa,South Africa,7/2,4.5,0.183,0.222,-0.178,0.0
2026-06-20,Germany v Ivory Coast,Germany,8/15,1.53,0.535,0.652,-0.18,0.0
2026-06-17,Ghana v Panama,Draw,9/4,3.25,0.252,0.308,-0.182,0.0
2026-06-16,France v Senegal,France,4/9,1.44,0.563,0.692,-0.186,0.0
2026-06-19,Brazil v Haiti,Brazil,1/16,1.06,0.76,0.941,-0.192,0.0
2026-06-14,Ivory Coast v Ecuador,Ivory Coast,5/2,3.5,0.229,0.286,-0.199,0.0
2026-06-17,Uzbekistan v Colombia,Colombia,4/11,1.36,0.582,0.733,-0.207,0.0
2026-06-14,Sweden v Tunisia,Sweden,17/20,1.85,0.428,0.541,-0.209,0.0
2026-06-18,Mexico v South Korea,Draw,11/5,3.2,0.245,0.312,-0.214,0.0
2026-06-20,Tunisia v Japan,Draw,12/5,3.4,0.228,0.294,-0.224,0.0
2026-06-19,United States v Australia,United States,8/15,1.53,0.504,0.652,-0.228,0.0
2026-06-18,Canada v Qatar,Draw,9/2,5.5,0.138,0.182,-0.239,0.0
2026-06-15,Spain v Cape Verde,Cape Verde,18/1,19.0,0.04,0.053,-0.242,0.0
2026-06-14,Netherlands v Japan,Netherlands,1/1,2.0,0.377,0.5,-0.246,0.0
2026-06-13,Australia v Turkey,Turkey,4/6,1.67,0.452,0.6,-0.247,0.0
2026-06-18,Switzerland v Bosnia and Herzegovina,Draw,14/5,3.8,0.198,0.263,-0.248,0.0
2026-06-14,Ivory Coast v Ecuador,Draw,7/4,2.75,0.27,0.364,-0.257,0.0
2026-06-13,Haiti v Scotland,Scotland,1/2,1.5,0.492,0.667,-0.262,0.0
2026-06-16,Iraq v Norway,Norway,1/6,1.17,0.625,0.857,-0.27,0.0
2026-06-20,Tunisia v Japan,Tunisia,4/1,5.0,0.146,0.2,-0.272,0.0
2026-06-16,Austria v Jordan,Austria,3/10,1.3,0.503,0.769,-0.346,0.0
2026-06-18,Switzerland v Bosnia and Herzegovina,Bosnia and Herzegovina,19/4,5.75,0.113,0.174,-0.352,0.0
2026-06-20,Ecuador v Curaçao,Curaçao,10/1,11.0,0.055,0.091,-0.399,0.0
2026-06-17,Ghana v Panama,Ghana,23/20,2.15,0.218,0.465,-0.531,0.0
2026-06-18,Canada v Qatar,Qatar,17/2,9.5,0.047,0.105,-0.551,0.0
