run_at,data_through,n_sims,group,team,exp_points,exp_gd,p_win_group,p_runner_up,p_third,p_fourth,p_third_advance,p_R32,p_R16,p_QF,p_SF,p_final,p_champion
2026-06-11T23:35:00,2026-06-10,100000,H,Spain,7.2997,5.3413,0.7459,0.2063,0.0404,0.0074,0.0363,0.9884,0.7254,0.5602,0.4205,0.3105,0.2033
2026-06-11T23:35:00,2026-06-10,100000,J,Argentina,6.8908,4.2856,0.7101,0.2039,0.0684,0.0176,0.0602,0.9742,0.6357,0.4961,0.3509,0.2534,0.1623
2026-06-11T23:35:00,2026-06-10,100000,L,England,6.5055,3.569,0.6138,0.2557,0.1042,0.0264,0.0896,0.9591,0.6618,0.3676,0.2298,0.127,0.0718
2026-06-11T23:35:00,2026-06-10,100000,I,France,6.0547,2.9379,0.5528,0.2607,0.133,0.0536,0.1126,0.9261,0.6401,0.4276,0.2554,0.1314,0.0705
2026-06-11T23:35:00,2026-06-10,100000,K,Colombia,5.7119,2.3124,0.4502,0.3421,0.149,0.0587,0.1206,0.9129,0.5893,0.3247,0.1833,0.106,0.0546
2026-06-11T23:35:00,2026-06-10,100000,C,Brazil,6.2794,3.3485,0.5666,0.286,0.1147,0.0327,0.0983,0.9508,0.6033,0.3696,0.215,0.0964,0.0508
2026-06-11T23:35:00,2026-06-10,100000,K,Portugal,5.5804,2.1931,0.4228,0.3452,0.162,0.07,0.1308,0.8989,0.5645,0.3,0.1631,0.0888,0.0419
2026-06-11T23:35:00,2026-06-10,100000,E,Ecuador,5.8055,2.7957,0.4336,0.3535,0.1792,0.0338,0.1539,0.9409,0.57,0.3044,0.1707,0.0814,0.0384
2026-06-11T23:35:00,2026-06-10,100000,A,Mexico,7.1217,4.7601,0.7479,0.1868,0.0538,0.0114,0.0481,0.9829,0.6811,0.4104,0.1987,0.0855,0.0372
2026-06-11T23:35:00,2026-06-10,100000,G,Belgium,5.8604,2.5851,0.5347,0.2628,0.1386,0.0638,0.1157,0.9132,0.5812,0.3205,0.1432,0.0761,0.0318
2026-06-11T23:35:00,2026-06-10,100000,F,Netherlands,5.8551,2.6284,0.4716,0.3342,0.1421,0.0521,0.1168,0.9226,0.5069,0.2965,0.1529,0.0641,0.0271
2026-06-11T23:35:00,2026-06-10,100000,F,Japan,5.558,2.1447,0.4024,0.3627,0.1693,0.0656,0.136,0.9011,0.4796,0.2724,0.134,0.059,0.0254
2026-06-11T23:35:00,2026-06-10,100000,H,Uruguay,5.2671,1.8986,0.2117,0.5704,0.1708,0.0471,0.1305,0.9126,0.4168,0.233,0.1215,0.0572,0.0233
2026-06-11T23:35:00,2026-06-10,100000,E,Germany,5.7878,2.7581,0.4272,0.3544,0.1797,0.0387,0.1534,0.935,0.5291,0.2637,0.1315,0.0538,0.0232
2026-06-11T23:35:00,2026-06-10,100000,I,Norway,4.8332,0.9683,0.2606,0.3776,0.255,0.1068,0.1983,0.8365,0.4862,0.2589,0.1269,0.0532,0.0215
2026-06-11T23:35:00,2026-06-10,100000,C,Morocco,5.1705,1.6552,0.3078,0.3972,0.2187,0.0762,0.1734,0.8786,0.42,0.2309,0.1085,0.0474,0.0191
2026-06-11T23:35:00,2026-06-10,100000,B,Switzerland,6.0973,3.2312,0.4286,0.4405,0.1057,0.0251,0.0867,0.9559,0.5911,0.2496,0.1114,0.0462,0.0172
2026-06-11T23:35:00,2026-06-10,100000,D,Turkey,4.6012,0.6964,0.3278,0.2683,0.2209,0.183,0.1712,0.7672,0.4295,0.1961,0.0772,0.0336,0.0114
2026-06-11T23:35:00,2026-06-10,100000,D,Paraguay,4.125,0.0395,0.2461,0.2594,0.2545,0.24,0.1921,0.6976,0.3888,0.1664,0.0638,0.0243,0.0082
2026-06-11T23:35:00,2026-06-10,100000,L,Croatia,4.7682,1.0321,0.2323,0.3912,0.2813,0.0951,0.2187,0.8423,0.395,0.15,0.0623,0.023,0.0078
2026-06-11T23:35:00,2026-06-10,100000,B,Canada,6.5276,3.9755,0.5306,0.3793,0.0742,0.0159,0.0627,0.9725,0.5684,0.264,0.0783,0.0247,0.0074
2026-06-11T23:35:00,2026-06-10,100000,A,South Korea,4.3275,0.258,0.1544,0.4201,0.2894,0.136,0.2004,0.7749,0.3984,0.1578,0.063,0.021,0.0064
2026-06-11T23:35:00,2026-06-10,100000,G,Iran,4.4406,0.4891,0.2434,0.3301,0.2672,0.1593,0.1992,0.7728,0.3816,0.1497,0.0532,0.0196,0.0063
2026-06-11T23:35:00,2026-06-10,100000,D,United States,4.0971,-0.0338,0.2482,0.2493,0.252,0.2505,0.1918,0.6893,0.3622,0.1424,0.0495,0.018,0.0058
2026-06-11T23:35:00,2026-06-10,100000,J,Austria,4.0299,-0.25,0.1499,0.3559,0.3048,0.1894,0.2107,0.7165,0.2566,0.1127,0.0451,0.0174,0.0055
2026-06-11T23:35:00,2026-06-10,100000,I,Senegal,3.7786,-0.492,0.149,0.2622,0.3679,0.2209,0.2616,0.6728,0.2997,0.1234,0.0443,0.0144,0.0045
