date,group,home,away,status,score,p_home_win,p_draw,p_away_win,xg_home,xg_away,most_likely_score
2026-06-11,A,Mexico,South Africa,played,2-0,0.7898,0.1605,0.0498,2.22,0.40,2-0
2026-06-11,A,South Korea,Czech Republic,played,2-1,0.5298,0.2455,0.2248,1.78,1.08,1-1
2026-06-12,B,Canada,Bosnia and Herzegovina,played,1-1,0.6939,0.1977,0.1085,2.12,0.72,2-0
2026-06-12,D,United States,Paraguay,played,4-1,0.5302,0.2473,0.2225,1.76,1.06,1-1
2026-06-13,B,Qatar,Switzerland,played,1-1,0.0203,0.0718,0.9078,0.43,3.38,0-3
2026-06-13,C,Brazil,Morocco,played,1-1,0.4304,0.2867,0.2829,1.35,1.05,1-1
2026-06-13,C,Haiti,Scotland,played,0-1,0.253,0.2666,0.4804,1.06,1.56,1-1
2026-06-13,D,Australia,Turkey,played,2-0,0.35,0.3015,0.3484,1.13,1.13,1-1
2026-06-14,F,Sweden,Tunisia,played,5-1,0.6034,0.2223,0.1744,2.00,0.99,1-1
2026-06-14,F,Netherlands,Japan,played,2-2,0.409,0.2645,0.3265,1.49,1.31,1-1
2026-06-14,E,Germany,Curaçao,played,7-1,0.895,0.0794,0.0257,3.33,0.50,3-0
2026-06-14,E,Ivory Coast,Ecuador,played,1-0,0.2664,0.3002,0.4334,0.94,1.27,1-1
2026-06-15,G,Belgium,Egypt,played,1-1,0.5187,0.2581,0.2232,1.65,1.00,1-1
2026-06-15,G,Iran,New Zealand,played,2-2,0.6305,0.2196,0.1499,1.99,0.86,2-0
2026-06-15,H,Spain,Cape Verde,played,0-0,0.8153,0.1406,0.044,2.43,0.42,2-0
2026-06-15,H,Saudi Arabia,Uruguay,played,1-1,0.1982,0.2897,0.512,0.76,1.39,0-1
2026-06-16,J,Austria,Jordan,played,3-1,0.607,0.2249,0.1681,1.96,0.94,1-1
2026-06-16,J,Argentina,Algeria,played,3-0,0.6678,0.2124,0.1198,1.99,0.72,2-0
2026-06-16,I,France,Senegal,played,3-1,0.6466,0.215,0.1384,2.01,0.82,2-0
2026-06-16,I,Iraq,Norway,played,1-4,0.0926,0.1892,0.7182,0.64,2.15,0-2
2026-06-17,K,Portugal,DR Congo,played,1-1,0.6354,0.2263,0.1383,1.89,0.76,1-0
2026-06-17,K,Uzbekistan,Colombia,played,1-3,0.0836,0.1724,0.744,0.65,2.32,0-2
2026-06-17,L,England,Croatia,played,4-2,0.6554,0.1991,0.1455,2.23,0.97,2-0
2026-06-17,L,Ghana,Panama,played,1-0,0.2563,0.293,0.4508,0.94,1.33,1-1
2026-06-18,A,Czech Republic,South Africa,played,1-1,0.4564,0.2748,0.2688,1.47,1.07,1-1
2026-06-18,A,Mexico,South Korea,played,1-0,0.706,0.2019,0.092,2.00,0.58,2-0
2026-06-18,B,Switzerland,Bosnia and Herzegovina,played,4-1,0.7939,0.138,0.0681,2.74,0.71,2-0
2026-06-18,B,Canada,Qatar,played,6-0,0.8814,0.0895,0.0291,3.15,0.49,3-0
2026-06-19,D,Turkey,Paraguay,played,0-1,0.3684,0.2991,0.3325,1.18,1.11,1-1
2026-06-19,C,Scotland,Morocco,played,0-1,0.1988,0.2458,0.5554,0.97,1.77,1-1
2026-06-19,C,Brazil,Haiti,played,3-0,0.8563,0.1084,0.0353,2.85,0.47,2-0
2026-06-19,D,United States,Australia,played,2-0,0.5266,0.2474,0.2261,1.76,1.08,1-1
2026-06-20,F,Netherlands,Sweden,played,5-1,0.6527,0.197,0.1503,2.28,1.02,2-1
2026-06-20,F,Tunisia,Japan,played,0-4,0.1113,0.19,0.6987,0.78,2.23,0-2
2026-06-20,E,Germany,Ivory Coast,played,2-1,0.6197,0.2206,0.1597,1.99,0.91,2-0
2026-06-20,E,Ecuador,Curaçao,played,0-0,0.7374,0.1876,0.075,2.08,0.51,2-0
2026-06-21,G,Belgium,Iran,played,0-0,0.4864,0.2676,0.246,1.55,1.03,1-1
2026-06-21,G,New Zealand,Egypt,played,1-3,0.2568,0.2413,0.5019,1.25,1.82,1-1
2026-06-21,H,Spain,Saudi Arabia,played,4-0,0.8227,0.1429,0.0344,2.29,0.31,2-0
