date,group,home,away,status,score,p_home_win,p_draw,p_away_win,xg_home,xg_away,most_likely_score
2026-06-11,A,Mexico,South Africa,played,2-0,0.7898,0.161,0.0492,2.21,0.39,2-0
2026-06-11,A,South Korea,Czech Republic,played,2-1,0.4755,0.2757,0.2488,1.47,1.00,1-1
2026-06-12,B,Canada,Bosnia and Herzegovina,played,1-1,0.6617,0.2154,0.1229,1.96,0.72,2-0
2026-06-12,D,United States,Paraguay,played,4-1,0.527,0.2358,0.2372,1.88,1.20,1-1
2026-06-13,B,Qatar,Switzerland,played,1-1,0.0318,0.1052,0.8631,0.43,2.84,0-2
2026-06-13,C,Brazil,Morocco,played,1-1,0.3768,0.2942,0.329,1.22,1.12,1-1
2026-06-13,C,Haiti,Scotland,played,0-1,0.253,0.2641,0.4828,1.08,1.58,1-1
2026-06-13,D,Australia,Turkey,played,2-0,0.3258,0.2936,0.3805,1.12,1.23,1-1
2026-06-14,F,Sweden,Tunisia,played,5-1,0.5779,0.2415,0.1806,1.79,0.90,1-0
2026-06-14,F,Netherlands,Japan,played,2-2,0.4313,0.2565,0.3122,1.59,1.33,1-1
2026-06-14,E,Germany,Curaçao,played,7-1,0.8687,0.0961,0.0352,3.13,0.55,3-0
2026-06-14,E,Ivory Coast,Ecuador,played,1-0,0.2313,0.2807,0.4881,0.91,1.44,1-1
2026-06-15,G,Belgium,Egypt,played,1-1,0.5315,0.2601,0.2084,1.63,0.93,1-1
2026-06-15,G,Iran,New Zealand,played,2-2,0.604,0.2372,0.1588,1.81,0.82,1-0
2026-06-15,H,Spain,Cape Verde,played,0-0,0.8243,0.1337,0.042,2.50,0.42,2-0
2026-06-15,H,Saudi Arabia,Uruguay,played,1-1,0.2024,0.291,0.5066,0.77,1.38,0-1
2026-06-16,J,Austria,Jordan,played,3-1,0.5845,0.2372,0.1782,1.83,0.91,1-1
2026-06-16,J,Argentina,Algeria,played,3-0,0.7181,0.1912,0.0907,2.11,0.61,2-0
2026-06-16,I,France,Senegal,played,3-1,0.6552,0.2081,0.1367,2.08,0.85,2-0
2026-06-16,I,Iraq,Norway,played,1-4,0.0662,0.1598,0.774,0.56,2.36,0-2
2026-06-17,K,Portugal,DR Congo,played,1-1,0.6143,0.2375,0.1483,1.79,0.76,1-0
2026-06-17,K,Uzbekistan,Colombia,played,1-3,0.1397,0.2202,0.6401,0.80,1.95,0-2
2026-06-17,L,England,Croatia,played,4-2,0.683,0.191,0.126,2.27,0.88,2-0
2026-06-17,L,Ghana,Panama,played,1-0,0.2687,0.2979,0.4334,0.95,1.28,1-1
2026-06-18,A,Czech Republic,South Africa,played,1-1,0.4702,0.2761,0.2537,1.47,1.01,1-1
2026-06-18,A,Mexico,South Korea,played,1-0,0.6348,0.2308,0.1344,1.83,0.72,1-0
2026-06-18,B,Switzerland,Bosnia and Herzegovina,played,4-1,0.785,0.1463,0.0687,2.59,0.66,2-0
2026-06-18,B,Canada,Qatar,played,6-0,0.8797,0.0904,0.0299,3.14,0.49,3-0
2026-06-19,D,Turkey,Paraguay,played,0-1,0.3832,0.2906,0.3262,1.25,1.14,1-1
2026-06-19,C,Scotland,Morocco,played,0-1,0.221,0.2656,0.5134,0.95,1.58,1-1
2026-06-19,C,Brazil,Haiti,played,3-0,0.8317,0.1251,0.0433,2.66,0.48,2-0
2026-06-19,D,United States,Australia,played,2-0,0.5125,0.2533,0.2341,1.69,1.07,1-1
2026-06-20,F,Netherlands,Sweden,played,5-1,0.6978,0.174,0.1282,2.54,1.03,2-1
2026-06-20,F,Tunisia,Japan,played,0-4,0.1244,0.2059,0.6697,0.78,2.07,0-2
2026-06-20,E,Germany,Ivory Coast,played,2-1,0.5284,0.2546,0.217,1.68,0.99,1-1
2026-06-20,E,Ecuador,Curaçao,played,0-0,0.7305,0.1866,0.0829,2.13,0.58,2-0
2026-06-21,G,Belgium,Iran,played,0-0,0.5176,0.269,0.2134,1.55,0.90,1-0
2026-06-21,G,New Zealand,Egypt,played,1-3,0.2412,0.2537,0.5051,1.10,1.68,1-1
2026-06-21,H,Spain,Saudi Arabia,played,4-0,0.8645,0.1134,0.0221,2.52,0.25,2-0
2026-06-21,H,Uruguay,Cape Verde,played,2-2,0.6576,0.2164,0.1261,1.96,0.73,2-0
2026-06-22,I,France,Iraq,played,3-0,0.8912,0.0845,0.0243,3.14,0.42,3-0
2026-06-22,I,Norway,Senegal,played,3-2,0.5345,0.2472,0.2183,1.75,1.04,1-1
2026-06-22,J,Argentina,Austria,played,2-0,0.6861,0.1906,0.1233,2.27,0.86,2-0
2026-06-22,J,Jordan,Algeria,played,1-2,0.2472,0.2487,0.5042,1.15,1.74,1-1
2026-06-23,K,Portugal,Uzbekistan,played,5-0,0.8129,0.1314,0.0557,2.71,0.60,2-0
2026-06-23,K,Colombia,DR Congo,played,1-0,0.64,0.2283,0.1317,1.85,0.71,1-0
2026-06-23,L,England,Ghana,played,0-0,0.7882,0.1731,0.0387,2.00,0.27,2-0
2026-06-23,L,Panama,Croatia,played,0-1,0.2696,0.2604,0.47,1.16,1.60,1-1
2026-06-24,C,Morocco,Haiti,played,4-2,0.7721,0.1561,0.0718,2.46,0.63,2-0
2026-06-24,B,Bosnia and Herzegovina,Qatar,played,3-1,0.6171,0.229,0.1539,1.89,0.83,1-0
2026-06-24,C,Scotland,Brazil,played,0-3,0.1336,0.2294,0.6369,0.72,1.84,0-1
2026-06-24,A,South Africa,South Korea,played,1-0,0.209,0.2705,0.5205,0.88,1.53,0-1
2026-06-24,A,Mexico,Czech Republic,played,3-0,0.8167,0.1321,0.0512,2.64,0.54,2-0
2026-06-24,B,Canada,Switzerland,played,1-2,0.2581,0.2778,0.4641,1.02,1.45,1-1
2026-06-25,D,United States,Turkey,played,2-3,0.4475,0.2731,0.2793,1.47,1.11,1-1
2026-06-25,D,Paraguay,Australia,played,0-0,0.3438,0.3,0.3562,1.12,1.15,1-1
2026-06-25,E,Curaçao,Ivory Coast,played,0-2,0.1546,0.2425,0.6029,0.77,1.75,0-1
2026-06-25,E,Ecuador,Germany,played,2-1,0.256,0.2973,0.4466,0.91,1.30,1-1
2026-06-25,F,Japan,Sweden,played,1-1,0.5969,0.2155,0.1876,2.10,1.11,1-1
2026-06-25,F,Tunisia,Netherlands,played,1-3,0.1171,0.2055,0.6773,0.73,2.05,0-2
2026-06-26,I,Senegal,Iraq,played,5-0,0.6709,0.2018,0.1273,2.13,0.82,2-0
2026-06-26,I,Norway,France,played,1-4,0.1703,0.2284,0.6013,0.92,1.92,1-1
2026-06-26,H,Uruguay,Spain,played,0-1,0.1272,0.244,0.6288,0.62,1.70,0-1
2026-06-26,G,New Zealand,Belgium,played,1-5,0.0751,0.1551,0.7698,0.67,2.51,0-2
2026-06-26,G,Egypt,Iran,played,1-1,0.3432,0.3097,0.3471,1.07,1.08,1-1
2026-06-26,H,Cape Verde,Saudi Arabia,played,0-0,0.3592,0.3149,0.3259,1.08,1.01,1-1
2026-06-27,L,Panama,England,played,0-2,0.1018,0.2054,0.6928,0.63,2.00,0-2
2026-06-27,J,Algeria,Austria,played,3-3,0.265,0.2581,0.4769,1.16,1.63,1-1
2026-06-27,J,Jordan,Argentina,played,1-3,0.0314,0.1078,0.8608,0.41,2.78,0-2
2026-06-27,K,Colombia,Portugal,played,0-0,0.3955,0.3081,0.2964,1.17,0.97,1-1
2026-06-27,K,DR Congo,Uzbekistan,played,3-1,0.4546,0.2919,0.2536,1.34,0.93,1-1
2026-06-27,L,Croatia,Ghana,played,2-1,0.571,0.257,0.172,1.64,0.79,1-0
