team,fractional_odds,decimal_odds,source,confirmed_skybet,p_champion,implied_prob,p_blend,model_edge,ev_per_unit,kelly,kelly_blend
Argentina,13/2,7.5,Sporting Life (Sky Bet) 2026-06-11,yes,0.1813,0.1333,0.1558,0.048,0.3598,0.0553,0.0259
Spain,9/2,5.5,Sporting Life (Sky Bet) 2026-06-11,yes,0.1982,0.1818,0.1899,0.0164,0.0901,0.02,0.0098
Colombia,40/1,41.0,UK/US market consensus 2026-06-11,no,0.0436,0.0244,0.0327,0.0192,0.7876,0.0197,0.0085
Mexico,33/1,34.0,market floor (every other team 33/1+),no,0.038,0.0294,0.0334,0.0086,0.292,0.0088,0.0042
Belgium,40/1,41.0,UK/US market consensus 2026-06-11,no,0.0282,0.0244,0.0262,0.0038,0.1562,0.0039,0.0019
Uruguay,65/1,66.0,UK/US market consensus 2026-06-11,no,0.0157,0.0152,0.0154,0.0005,0.0362,0.0006,0.0003
Brazil,6/1,7.0,Sporting Life (Sky Bet) 2026-06-11,yes,0.0571,0.1429,0.0913,-0.0858,-0.6003,0.0,0.0
France,9/2,5.5,Sporting Life (Sky Bet) 2026-06-11,yes,0.0667,0.1818,0.1119,-0.1151,-0.6332,0.0,0.0
England,11/2,6.5,Sporting Life (Sky Bet) 2026-06-11,yes,0.0804,0.1538,0.112,-0.0734,-0.4774,0.0,0.0
Norway,30/1,31.0,UK/US market consensus 2026-06-11,no,0.019,0.0323,0.0248,-0.0133,-0.411,0.0,0.0
Netherlands,20/1,21.0,UK/US market consensus 2026-06-11,no,0.028,0.0476,0.0366,-0.0196,-0.412,0.0,0.0
Germany,14/1,15.0,UK/US market consensus 2026-06-11,no,0.0219,0.0667,0.0385,-0.0448,-0.6715,0.0,0.0
Portugal,17/2,9.5,Sporting Life market report 2026-06,yes,0.0377,0.1053,0.0636,-0.0676,-0.6418,0.0,0.0
