data_through,n_sims,group,team,exp_points,exp_gd,p_win_group,p_runner_up,p_third,p_fourth,p_third_advance,p_R32,p_R16,p_QF,p_SF,p_final,p_champion
2026-06-25,50000,J,Argentina,8.7473,7.6387,1.0,0.0,0.0,0.0,0.0,1.0,0.8941,0.7217,0.5036,0.3733,0.2505
2026-06-25,50000,H,Spain,6.1172,5.1178,0.8544,0.0965,0.049,0.0,0.049,1.0,0.7876,0.5314,0.4005,0.28,0.1618
2026-06-25,50000,I,France,8.2038,6.3541,0.8612,0.1388,0.0,0.0,0.0,1.0,0.7854,0.6147,0.4048,0.2208,0.1096
2026-06-25,50000,L,England,6.2987,3.4273,0.746,0.2523,0.0016,0.0,0.0016,1.0,0.7331,0.3865,0.2585,0.1193,0.0655
2026-06-25,50000,K,Colombia,7.5342,3.2437,0.7092,0.2908,0.0,0.0,0.0,1.0,0.7754,0.4773,0.227,0.1318,0.0645
2026-06-25,50000,K,Portugal,5.1691,4.7563,0.2908,0.7065,0.0026,0.0,0.0026,1.0,0.7055,0.3694,0.2119,0.1129,0.0496
2026-06-25,50000,C,Brazil,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5307,0.2985,0.1763,0.0683,0.0429
2026-06-25,50000,A,Mexico,9.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7076,0.4482,0.2025,0.0768,0.0346
2026-06-25,50000,B,Switzerland,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6703,0.2871,0.1116,0.0633,0.0319
2026-06-25,50000,F,Japan,6.0661,5.0552,0.3556,0.4831,0.1613,0.0,0.1613,1.0,0.524,0.3067,0.1638,0.0704,0.0295
2026-06-25,50000,F,Netherlands,6.3262,5.492,0.597,0.3999,0.0031,0.0,0.0031,1.0,0.5269,0.3248,0.1749,0.0718,0.0284
2026-06-25,50000,D,United States,7.8736,5.7606,1.0,0.0,0.0,0.0,0.0,1.0,0.802,0.5207,0.1889,0.0792,0.027
2026-06-25,50000,C,Morocco,7.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4884,0.332,0.1535,0.0717,0.0258
2026-06-25,50000,I,Norway,6.6062,2.6459,0.1388,0.8612,0.0,0.0,0.0,1.0,0.6674,0.3737,0.1638,0.0469,0.0202
2026-06-25,50000,G,Belgium,3.9393,0.8232,0.1553,0.5185,0.1673,0.1589,0.1386,0.8124,0.4349,0.1602,0.0625,0.0282,0.0097
2026-06-25,50000,E,Germany,6.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7022,0.1913,0.0887,0.0319,0.0075
2026-06-25,50000,E,Ecuador,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3128,0.146,0.0565,0.0215,0.0072
2026-06-25,50000,B,Canada,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.6409,0.2409,0.0654,0.0204,0.0053
2026-06-25,50000,D,Australia,4.3208,-0.0339,0.0,0.6413,0.3587,0.0,0.2668,0.9081,0.4145,0.0968,0.0428,0.0124,0.0034
2026-06-25,50000,H,Uruguay,2.6573,-1.1178,0.1286,0.0805,0.6785,0.1124,0.1591,0.3681,0.1531,0.0681,0.0308,0.0103,0.0032
2026-06-25,50000,J,Austria,4.5269,0.2322,0.0,0.7022,0.2978,0.0,0.2283,0.9305,0.2389,0.0909,0.0382,0.0137,0.0031
2026-06-25,50000,G,Egypt,5.3033,1.9289,0.5825,0.2111,0.2064,0.0,0.2064,1.0,0.4085,0.1317,0.0321,0.0097,0.0029
2026-06-25,50000,A,South Korea,3.0,-1.0,0.0,0.0,1.0,0.0,0.8283,0.8283,0.4196,0.1642,0.0397,0.0124,0.0029
2026-06-25,50000,L,Croatia,5.0777,-0.0013,0.1847,0.4258,0.3895,0.0,0.3396,0.9501,0.3426,0.1058,0.0361,0.01,0.0028
2026-06-25,50000,D,Paraguay,4.3777,-1.9661,0.0,0.3587,0.6413,0.0,0.4006,0.7593,0.2983,0.0793,0.0364,0.0116,0.0028
2026-06-25,50000,G,Iran,3.3991,0.0711,0.2622,0.1537,0.5269,0.0572,0.2466,0.6625,0.2826,0.0978,0.0261,0.0072,0.0021
2026-06-25,50000,J,Algeria,4.1832,-2.2322,0.0,0.2978,0.7022,0.0,0.3885,0.6863,0.1835,0.0609,0.0191,0.0058,0.0015
2026-06-25,50000,I,Senegal,2.0954,-1.9237,0.0,0.0,0.848,0.152,0.5219,0.5219,0.1846,0.0617,0.0174,0.0054,0.0015
2026-06-25,50000,E,Ivory Coast,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.309,0.0743,0.0222,0.005,0.0012
2026-06-25,50000,F,Sweden,3.7137,-1.0552,0.0474,0.117,0.8355,0.0,0.6724,0.8369,0.2064,0.0555,0.0124,0.0024,0.0004
2026-06-25,50000,A,South Africa,4.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3591,0.0749,0.0123,0.0025,0.0003
2026-06-25,50000,C,Scotland,3.0,-3.0,0.0,0.0,1.0,0.0,0.1586,0.1586,0.0332,0.0116,0.0043,0.0008,0.0002
2026-06-25,50000,B,Bosnia and Herzegovina,4.0,-1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1243,0.0347,0.0047,0.0007,0.0001
2026-06-25,50000,H,Cape Verde,3.3394,-0.0104,0.017,0.5236,0.2129,0.2466,0.1071,0.6477,0.0543,0.0141,0.0028,0.0004,0.0001
2026-06-25,50000,K,DR Congo,2.4378,-0.8856,0.0,0.0026,0.6782,0.3191,0.3758,0.3784,0.0743,0.0134,0.0025,0.0004,0.0001
2026-06-25,50000,L,Ghana,4.676,0.0013,0.0693,0.3219,0.6088,0.0,0.6088,1.0,0.1618,0.0235,0.0033,0.0006,0.0
2026-06-25,50000,H,Saudi Arabia,2.3562,-3.9896,0.0,0.2994,0.0596,0.641,0.051,0.3504,0.0218,0.0057,0.0012,0.0001,0.0
2026-06-25,50000,G,New Zealand,1.8095,-2.8232,0.0,0.1167,0.0994,0.7838,0.0693,0.1861,0.038,0.0034,0.0007,0.0001,0.0
2026-06-25,50000,K,Uzbekistan,1.2598,-7.1144,0.0,0.0,0.3191,0.6809,0.0061,0.0061,0.0013,0.0002,0.0001,0.0,0.0
2026-06-25,50000,I,Iraq,0.6803,-7.0763,0.0,0.0,0.152,0.848,0.0083,0.0083,0.0009,0.0003,0.0,0.0,0.0
2026-06-25,50000,A,Czech Republic,1.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,B,Qatar,1.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,C,Haiti,0.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,D,Turkey,0.8874,-3.7606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,E,Curaçao,1.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,F,Tunisia,0.4847,-9.492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,J,Jordan,0.1645,-5.6387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-25,50000,L,Panama,0.502,-3.4273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
